SchoolID,NAME,Managed by Network,Geographic Area,"ES
or
HS","20th DAY
2013-14 School
Enrollment",Total # CR,IC,School's Space Utilization Index,"Space Use Status - 
Permanent","Moible
CR's","Leased
Cr's",Adj IC,Adj Util,"Space Use Status - 
Adjusted",,,,,,,,,
609907,ERICSON,OS4,Garfield - West Humboldt,ES,487,35.0,780,62%,Underutilized,,,,62%,Underutilized,,,,,,,,,
400039,ERIE,Charter,Humboldt Park,ES,425,9.0,180,236%,Overcrowded,,,,236%,Overcrowded,,,,,,,,,
609908,ESMOND,OS4,Beverly,ES,356,37.0,840,42%,Underutilized,,,,42%,Underutilized,,,,,,,,,
609909,EVERETT,8,McKinley Park,ES,256,13.5,300,85%,Efficient,6,,450,57%,Underutilized,,,,,,,,,
610319,EVERGREEN,8,McKinley Park,ES,388,19.0,420,92%,Efficient,,,,92%,Efficient,,,,,,,,,
610362,EVERS,11,Auburn Gresham,ES,395,25.5,570,69%,Underutilized,,,,69%,Underutilized,,,,,,,,,
610565,EXCEL ACAD OF ENGLEWOOD,Options,Englewood,HS,259,N/A,375,69%,Underutilized,,,,69%,Underutilized,,,,,,,,,
610057,FAIRFIELD - FULL LEASE,10,Chicago Lawn,ES,575,34.0,780,74%,Underutilized,,,,74%,Underutilized,,,,,,,,,
609910,FALCONER,3,Belmont Cragin,ES,1434,55.0,"1,260",114%,Efficient,,,,114%,Efficient,,,,,,,,,
610055,FARADAY,5,Garfield - West Humboldt,ES,347,36.0,810,43%,Underutilized,,,,43%,Underutilized,,,,,,,,,
609912,FARNSWORTH,1,Sauganash,ES,597,21.5,480,124%,Overcrowded,4,,570,105%,Efficient,,,,,,,,,
609704,FARRAGUT HS,7,Pilsen - Little Village,HS,1100,106.0,"2,544",43%,Underutilized,,,,43%,Underutilized,,,,,,,,,
609705,FENGER HS,13,Far South Side,HS,421,65.0,"1,560",27%,Underutilized,,,,27%,Underutilized,,,,,,,,,
609917,FERNWOOD,13,Far South Side,ES,311,21.5,480,65%,Underutilized,,,,65%,Underutilized,,,,,,,,,
609918,FIELD,2,Ravenswood,ES,390,30.5,690,57%,Underutilized,2,,750,52%,Underutilized,,,,,,,,,
609967,FINKL,7,Pilsen - Little Village,ES,524,30.0,690,76%,Underutilized,,,,76%,Underutilized,,,,,,,,,
609919,FISKE,9,Woodlawn,ES,507,39.0,900,56%,Underutilized,,,,56%,Underutilized,,,,,,,,,
400042,FORD HS,Charter,North Lawndale,HS,179,15.0,360,50%,Underutilized,,,,50%,Underutilized,,,,,,,,,
