Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
4,19,4019,160,60.38%,12,4.53%,62,23.40%,18,6.79%,9,3.40%,3,1.13%,265,,12,2.59%,428,92.44%,12,2.59%,3,0.65%,0,0.00%,0,0.00%,0,0.00%,6,1.30%,463,AA
4,20,4020,122,58.10%,7,3.33%,51,24.29%,16,7.62%,9,4.29%,2,0.95%,210,,21,0.82%,"2,455",96.01%,37,1.45%,8,0.31%,4,0.16%,2,0.08%,5,0.20%,26,1.02%,"2,557",AA
4,21,4021,192,54.55%,49,13.92%,50,14.20%,46,13.07%,11,3.13%,3,0.85%,352,,237,30.42%,433,55.58%,30,3.85%,53,6.80%,0,0.00%,0,0.00%,2,0.26%,25,3.21%,779,AA
4,22,4022,220,61.11%,49,13.61%,36,10.00%,37,10.28%,5,1.39%,13,3.61%,360,,421,45.12%,384,41.16%,29,3.11%,56,6.00%,0,0.00%,0,0.00%,6,0.64%,36,3.86%,933,Mixed
4,23,4023,125,59.24%,26,12.32%,27,12.80%,26,12.32%,2,0.95%,5,2.37%,211,,177,22.18%,542,67.92%,24,3.01%,30,3.76%,1,0.13%,0,0.00%,0,0.00%,22,2.76%,798,AA
4,24,4024,175,63.64%,21,7.64%,39,14.18%,27,9.82%,6,2.18%,7,2.55%,275,,178,22.25%,543,67.88%,25,3.13%,30,3.75%,1,0.13%,0,0.00%,1,0.13%,23,2.88%,800,AA
4,25,4025,174,58.00%,8,2.67%,77,25.67%,29,9.67%,5,1.67%,7,2.33%,300,,71,4.18%,"1,244",73.18%,29,1.71%,307,18.06%,1,0.06%,0,0.00%,5,0.29%,43,2.53%,"1,700",AA
4,26,4026,157,53.40%,17,5.78%,74,25.17%,30,10.20%,8,2.72%,8,2.72%,294,,53,3.62%,"1,340",91.47%,25,1.71%,9,0.61%,1,0.07%,0,0.00%,2,0.14%,33,2.25%,"1,465",AA
4,27,4027,141,63.51%,10,4.50%,41,18.47%,21,9.46%,7,3.15%,2,0.90%,222,,9,4.41%,149,73.04%,3,1.47%,37,18.14%,0,0.00%,0,0.00%,1,0.49%,5,2.45%,204,AA
4,28,4028,112,62.57%,21,11.73%,21,11.73%,20,11.17%,4,2.23%,1,0.56%,179,,387,50.00%,208,26.87%,36,4.65%,106,13.70%,1,0.13%,0,0.00%,2,0.26%,34,4.39%,774,Mixed
4,29,4029,194,74.90%,15,5.79%,18,6.95%,26,10.04%,4,1.54%,2,0.77%,259,,204,24.26%,465,55.29%,36,4.28%,105,12.49%,1,0.12%,0,0.00%,3,0.36%,26,3.09%,841,AA
4,30,4030,131,58.22%,14,6.22%,38,16.89%,33,14.67%,3,1.33%,6,2.67%,225,,80,6.56%,664,54.47%,26,2.13%,419,34.37%,1,0.08%,0,0.00%,1,0.08%,29,2.38%,"1,219",AA
4,31,4031,102,50.25%,81,39.90%,8,3.94%,11,5.42%,0,0.00%,1,0.49%,203,,577,53.82%,218,20.34%,85,7.93%,138,12.87%,1,0.09%,0,0.00%,6,0.56%,47,4.38%,"1,072",White
4,32,4032,200,65.36%,45,14.71%,30,9.80%,29,9.48%,1,0.33%,1,0.33%,306,,423,45.19%,384,41.03%,30,3.21%,57,6.09%,1,0.11%,0,0.00%,6,0.64%,36,3.85%,936,Mixed
4,33,4033,152,58.69%,23,8.88%,42,16.22%,28,10.81%,11,4.25%,4,1.54%,259,,32,2.78%,"1,063",92.19%,26,2.25%,6,0.52%,2,0.17%,0,0.00%,1,0.09%,22,1.91%,"1,153",AA
4,34,4034,132,59.19%,55,24.66%,14,6.28%,17,7.62%,3,1.35%,2,0.90%,223,,271,37.33%,258,35.54%,49,6.75%,113,15.56%,4,0.55%,0,0.00%,4,0.55%,28,3.86%,726,Mixed
4,35,4035,89,55.97%,8,5.03%,32,20.13%,15,9.43%,3,1.89%,12,7.55%,159,,18,1.64%,"1,048",95.53%,9,0.82%,4,0.36%,5,0.46%,0,0.00%,0,0.00%,15,1.37%,"1,097",AA
4,36,4036,122,62.56%,10,5.13%,34,17.44%,23,11.79%,3,1.54%,3,1.54%,195,,48,7.08%,565,83.33%,25,3.69%,21,3.10%,1,0.15%,0,0.00%,3,0.44%,15,2.21%,678,AA
