PRECINCT,WARD,FULL_TEXT,SHAPE_AREA,SHAPE_LEN
1,10,10001,5626781.359579999931157,10344.127077900000586
2,10,10002,4308748.702119999565184,9361.138130229999661
3,10,10003,20762470.348400000482798,20114.115369399998599
7,10,10007,18449436.222500000149012,20406.436812100000679
4,10,10004,19071306.961100000888109,28803.373412299999472
5,10,10005,3160311.654639999847859,8313.785715870000786
28,10,10028,3281089.781959999818355,8607.371532780000052
9,10,10009,9569618.01537000015378,14864.36123360000056
10,10,10010,3304524.808530000038445,7982.866795169999932
11,10,10011,3480455.703749999869615,7924.906634840000152
12,10,10012,1963895.331350000109524,5952.471190780000143
13,10,10013,202740181.099000006914139,70199.480252399996971
14,10,10014,12853731.096200000494719,18803.610155499998655
16,10,10016,49839781.074699997901917,36645.877031199997873
17,10,10017,5669839.908110000193119,11126.46127770000021
18,10,10018,2739629.903979999944568,6779.889708439999595
19,10,10019,2906904.559960000216961,8782.027929690000747
20,10,10020,3770523.618950000032783,11359.848841099999845
24,10,10024,46498804.139499999582767,29354.414516299999377
29,10,10029,3720032.477760000154376,9200.779857179999453
25,10,10025,2216827.83238000003621,8672.988283360000423
26,10,10026,20339197.803800001740456,26370.337461399998574
27,10,10027,3797484.970110000111163,9690.538235109999732
30,10,10030,2303295.85981999989599,6275.52802980999968
31,10,10031,6260763.182830000296235,13190.119899799999985
32,10,10032,2466700.330080000218004,8505.329777420000028
33,10,10033,20883941.5185999982059,28928.352011399998446
11,12,12011,3322539.342170000076294,7892.233055290000266
35,10,10035,18697560.114399999380112,21325.488011199999164
34,10,10034,3327051.337259999942034,11098.943266300000687
21,10,10021,10704487.609400000423193,15363.576176900000064
23,10,10023,4890823.825079999864101,10228.699103000000832
34,11,11034,1149459.960590000031516,5008.526534120000179
22,10,10022,12921524.255999999120831,24718.004684999999881
35,11,11035,209397.000969999993686,1936.601387270000032
36,10,10036,2895045.904500000178814,9330.042614500000127
2,11,11002,3698186.8078000000678,8048.842975470000056
1,11,11001,6010344.866220000199974,11579.730785100000503
22,11,11022,1982476.773319999920204,5977.18969154000024
4,11,11004,3965011.947130000218749,9610.174789860000601
5,11,11005,2690932.223309999797493,7056.597574700000223
8,11,11008,2144627.418659999966621,7414.082880769999974
9,11,11009,2024396.898400000063702,6511.396137259999705
11,11,11011,3402542.779639999847859,8282.949138800000583
12,11,11012,3969114.433749999850988,9511.918477049999638
14,11,11014,1314779.373080000048503,5500.935470030000033
19,11,11019,2402520.405580000020564,7314.636046720000195
21,11,11021,2099308.600449999794364,5993.307012960000066
24,11,11024,1986560.590379999950528,5989.485110259999601
20,11,11020,1567614.528020000085235,5611.118360729999949
25,11,11025,18576586.267900001257658,21816.999719999999797
28,11,11028,1892783.915319999912754,5493.722331330000088
